id,category_num,category_name,name,description,material_rec,infill_pct,supports_needed,source_license,source_site,page_url,download_url,local_path,notes
OG-001,01,Water_Hose_Irrigation,Garden Hose End Cap,Caps 3/4in garden hose end to prevent debris entry during storage,PETG,35,No,CC BY,Printables,https://www.printables.com/model/search?q=garden+hose+end+cap+3/4+inch,,,Verify thread: US standard 3/4-11.5 NH (garden hose thread)
OG-002,01,Water_Hose_Irrigation,Drip Irrigation T-Stake,Combined drip-line guide and garden stake clip for 1/4in tubing,PETG,30,No,CC BY,Printables,https://www.printables.com/model/search?q=drip+irrigation+stake+clip+1/4+inch,,,Use PETG minimum for outdoor exposure
OG-003,01,Water_Hose_Irrigation,Rain Barrel Overflow Diverter,Routes overflow from rain barrel away from foundation,PETG,30,No,CC0,Printables,https://www.printables.com/model/search?q=rain+barrel+overflow+diverter,,,Check inner diameter to match barrel outlet
OG-004,01,Water_Hose_Irrigation,Soaker Hose End Plug,Plug for sealing open end of soaker hose,PETG,35,No,CC BY,Thingiverse,https://www.thingiverse.com/search?q=soaker+hose+end+plug,,,
OG-005,02,PEX_Tubing_NonPressure,PEX Pipe Clip 16mm,Support clip for 16mm OD PEX gravity drainage and greywater,PETG,35,No,CC BY,Printables,https://www.printables.com/model/search?q=PEX+pipe+clip+support+16mm,,,Non-pressure drainage only; never use on pressurised lines
OG-006,02,PEX_Tubing_NonPressure,PEX to PVC Transition Guide,Guide sleeve to neaten PEX-to-PVC gravity-feed connections,PETG,40,No,CC BY-SA,Printables,https://www.printables.com/model/search?q=PEX+PVC+transition+adapter,,,Cosmetic/guide only - not a structural coupling
OG-007,03,Garden_Greenhouse,Greenhouse Poly Film Clip 22mm,Secures polyethylene film to 22mm EMT conduit hoops,PETG,40,No,CC0,Printables,https://www.printables.com/model/search?q=greenhouse+poly+film+clip+conduit,,,Print 20+ per hoop; replace annually or when brittle
OG-008,03,Garden_Greenhouse,Row Cover Hoop Anchor Stake,Pushes into soil to anchor 9mm row-cover hoops,PETG,40,No,CC BY,Printables,https://www.printables.com/model/search?q=row+cover+hoop+anchor+stake,,,
OG-009,03,Garden_Greenhouse,Weatherproof Plant Label,Print flat - write with UV-permanent marker or laser-engrave,PETG,20,No,CC0,Printables,https://www.printables.com/model/14399,,,PETG lasts 3-5 seasons; PLA fades and cracks in < 1 season
OG-010,03,Garden_Greenhouse,Trellis Netting Corner Anchor,Corner anchor for poly trellis netting; mounts on T-post or stake,PETG,40,No,CC BY,Printables,https://www.printables.com/model/search?q=trellis+net+anchor+stake,,,
OG-011,04,Buckets_Barrels_Storage,Gamma Seal Lid Carry Handle,Snap-on carry handle for Gamma Seal lids (standard size),PETG,45,No,CC BY,Printables,https://www.printables.com/model/search?q=gamma+seal+lid+handle,,,
OG-012,04,Buckets_Barrels_Storage,5-Gallon Bucket Spigot Drill Guide,Drill guide for consistent 7/8in spigot hole placement,PETG,30,No,CC BY,Printables,https://www.printables.com/model/search?q=5+gallon+bucket+spigot+drill+guide,,,
OG-013,04,Buckets_Barrels_Storage,IBC Tote Strainer Insert 2in,Debris strainer insert for standard 2in IBC tote outlet valve,PETG,50,Yes,CC BY-SA,Printables,https://www.printables.com/model/search?q=IBC+tote+strainer+2+inch+outlet,,,Print at 50%+ infill; replace if warped or cracked
OG-014,05,Workshop_Repair_Hardware,Hex Bolt Drawer Insert M3-M8,Tray insert sized for M3 through M8 hex bolts with dividers,PETG,30,No,CC BY,Printables,https://www.printables.com/model/search?q=hex+bolt+drawer+organizer+M3+M8,,,
OG-015,05,Workshop_Repair_Hardware,1/4in Pegboard Tool Hook (5-pack),Standard 1/4in pegboard hooks in 25 / 50 / 75mm reach sizes,PETG,40,No,CC0,Printables,https://www.printables.com/model/search?q=pegboard+hook+1/4+inch,,,
OG-016,05,Workshop_Repair_Hardware,Snap-Lock Bit Holder Strip,Magnetic / friction-fit screwdriver bit holder strip for wall mount,PETG,40,No,CC BY,Printables,https://www.printables.com/model/search?q=screwdriver+bit+holder+strip+wall,,,
OG-017,06,Electrical_Solar_LowVoltage,Solar Panel Aluminium Frame Clip,Side-mount clip for 35mm solar panel frame onto 40x40mm unistrut,PETG or ASA,50,No,CC BY,Printables,https://www.printables.com/model/search?q=solar+panel+frame+end+clip+unistrut,,,ASA preferred for UV stability; verify panel frame width
OG-018,06,Electrical_Solar_LowVoltage,MC4 Dust Cap Pair,Pair of protective dust caps for unused MC4 solar connectors,ASA,35,No,CC BY,Printables,https://www.printables.com/model/search?q=MC4+solar+connector+dust+cap,,,ASA or PETG only - outdoors UV exposed
OG-019,06,Electrical_Solar_LowVoltage,12V Battery Terminal Insulator Cover,Safety insulator for exposed 12V AGM/lithium battery terminals,PETG,60,No,CC0,Printables,https://www.printables.com/model/search?q=12v+battery+terminal+cover+safety,,,CRITICAL safety item - verify fit before use; 60% infill minimum
OG-020,06,Electrical_Solar_LowVoltage,1/2in EMT Conduit Saddle Clip,Single-screw wall saddle for 1/2in EMT (16mm OD) conduit,PETG,40,No,CC BY,Printables,https://www.printables.com/model/search?q=conduit+saddle+clip+1/2+EMT,,,
OG-021,07,Chicken_Coop_Livestock,Spring-Loaded Coop Door Latch,Simple spring-loaded latch for chicken coop pop-door,PETG,45,Yes,CC BY,Printables,https://www.printables.com/model/search?q=chicken+coop+door+latch+spring,,,Not predator-proof; use metal latch for predator exclusion
OG-022,07,Chicken_Coop_Livestock,Horizontal Nipple Waterer Manifold,Connects 3 horizontal nipples to 1/2in PVC for gravity waterer,PETG,45,Yes,CC BY-SA,Printables,https://www.printables.com/model/search?q=chicken+nipple+waterer+horizontal+manifold,,,Gravity-feed only (<5 PSI); test for leaks before use with birds
OG-023,07,Chicken_Coop_Livestock,Egg Carton Stack Separator,Separator tabs to prevent fragile egg carton stacks from collapsing,PLA,20,No,CC0,Printables,https://www.printables.com/model/search?q=egg+carton+separator+stack,,,PLA acceptable - indoor barn use only
OG-024,07,Chicken_Coop_Livestock,Heat Lamp Cord Strain Relief,Cord strain relief for brooder heat lamp cords at fixture,ASA or ABS,60,No,CC BY,Printables,https://www.printables.com/model/search?q=heat+lamp+cord+strain+relief,,,ASA/ABS ONLY - high-temp area; never use PLA or PETG here
OG-025,08,Vehicle_Trailer_Utility,Trailer Stabiliser Jack Foot Pad 150mm,Wide pad extends stabiliser jack footprint on soft ground,PETG,65,No,CC BY,Printables,https://www.printables.com/model/search?q=trailer+jack+stabilizer+foot+pad+wide,,,Stabilizer support only - never under a load/lift jack point
OG-026,08,Vehicle_Trailer_Utility,Tow Ball Dust Cover 1-7/8in,Weather cover for stored 1-7/8in trailer hitch ball,PETG,30,No,CC0,Printables,https://www.printables.com/model/search?q=trailer+hitch+ball+dust+cover+1+7/8,,,Also search 2in variant for larger balls
OG-027,08,Vehicle_Trailer_Utility,Truck Bed D-Ring Anchor,Printable anchor for organizing strap ends in truck bed,PETG,60,No,CC BY,Printables,https://www.printables.com/model/search?q=truck+bed+strap+d+ring+anchor,,,Organizer only - never rely on printed parts for cargo retention
OG-028,09,Radio_Comms_Sensors,Heltec LoRa V3 Meshtastic Enclosure,Compact weatherproof case for Heltec WiFi LoRa 32 V3 Meshtastic node,PETG,40,Yes,CC BY,Printables,https://www.printables.com/model/470318,,,Widely used; check for battery-cutout variant for 18650 cell; use PETG for outdoor nodes
OG-029,09,Radio_Comms_Sensors,SMA Bulkhead Panel with Labels,Labelled bulkhead panel for multi-port SMA/RP-SMA connectors,PETG,30,No,CC0,Printables,https://www.printables.com/model/search?q=SMA+bulkhead+panel+label,,,
OG-030,09,Radio_Comms_Sensors,Davis-Compatible Rain Gauge Mount,Pole/fence bracket for tipping bucket rain gauge,PETG,40,No,CC BY,Printables,https://www.printables.com/model/search?q=rain+gauge+tipping+bucket+mount+bracket,,,ASA preferred for longevity in UV
OG-031,09,Radio_Comms_Sensors,Weatherstation Cable Gland Housing,Printable housing for 16mm cable glands on sensor enclosures,PETG,45,No,CC BY,Printables,https://www.printables.com/model/search?q=cable+gland+housing+16mm+weatherproof,,,
